"시점","월별(1)",계,계,계,계,계,계,계,계,계,계,계,계,계,입원,입원,입원,입원,입원,입원,입원,입원,입원,입원,입원,입원,입원,외래,외래,외래,외래,외래,외래,외래,외래,외래,외래,외래,외래,외래
"시점","월별(1)",청구건수 (건),입내원일수 (일),요양급여일수 (일),진료비(계) (천원),진료비(급여비) (천원),건당입내원일수 (일),건당요양급여일수 (일),건당진료비 (원),건당급여비 (원),입내원일당진료비 (원),요양급여일당진료비 (원),입내원일당급여비 (원),요양급여일당급여비 (원),청구건수 (건),입내원일수 (일),요양급여일수 (일),진료비(계) (천원),진료비(급여비) (천원),건당입내원일수 (일),건당요양급여일수 (일),건당진료비 (원),건당급여비 (원),입내원일당진료비 (원),요양급여일당진료비 (원),입내원일당급여비 (원),요양급여일당급여비 (원),청구건수 (건),입내원일수 (일),요양급여일수 (일),진료비(계) (천원),진료비(급여비) (천원),건당입내원일수 (일),건당요양급여일수 (일),건당진료비 (원),건당급여비 (원),입내원일당진료비 (원),요양급여일당진료비 (원),입내원일당급여비 (원),요양급여일당급여비 (원)
"2012","계",1339669965,1445126421,6854574521,48234935369,36100036708,10.65,19.36,1396008,1139474,166110,100501,133361,81712,11981351,115609721,171701353,16439129520,13448019798,9.65,14.33,1372060,1122413,142195,95743,116323,78322,1327688614,1329516700,6682873168,31795805849,22652016910,1.00,5.03,23948,17061,23915,4758,17038,3390
"2013","계",1336210309,1446386924,7107244627,50742582327,38027169908,10.67,19.59,1416176,1155840,168823,101673,135470,82668,12742633,123220100,182941627,17727927936,14501939320,9.67,14.36,1391230,1138065,143872,96905,117691,79271,1323467676,1323166824,6924303000,33014654391,23525230588,1.00,5.23,24946,17775,24951,4768,17779,3397
"2014","계",1362782885,1476960886,7389869413,54527451220,40932262135,1.08,5.42,40012,27714,36919,7379,27714,5539,14039627,130074679,191215539,19057615672,15603861850,9.26,13.62,1357416,119961,146513,99666,119961,81604,1348743258,1346886207,7198653874,35469835548,25328400286,1.00,5.34,26298,18805,26335,4927,18805,3518
"2015","계",1354708801,1474259927,7623827002,58017032863,43451783455,1.09,5.63,42826,29474,39353,7610,29474,5699,13897278,133863023,196242449,20709939430,16942006610,9.63,14.12,1490216,126562,154710,105532,126562,86332,1340811523,1340396904,7427584553,37307093433,26509776845,1.00,5.54,27824,19778,27833,5023,19778,3569
"2016","계",1399039549,1524353003,8114180089,64662332221,48411598750,1.09,5.80,46219,34603,42420,7969,31759,5966,15616228,141498708,210495971,23742894017,19434751662,9.06,13.48,1520399,1244523,167796,112795,137349,92328,1383423321,1382854295,7903684118,40919438204,28976847088,1.00,5.71,29578,20946,29591,5177,20954,3666
"2017","계",1414173873,1539474646,8513383468,69627144460,52059481637,1.09,6.02,49235,36813,45228,8179,33816,6115,15718777,142049141,210336643,25182415673,20569001914,9.04,13.38,1602059,1308562,177280,119724,144802,97791,1398455096,1397425505,8303046825,44444728787,31490479723,1.00,5.94,31781,22518,31805,5353,22535,3793
"2018","계",1437695370,1567410847,9002049592,77914125431,58798201800,1.09,6.26,54194,40898,49709,8655,37513,6532,16657143,147669248,222183777,29104091180,23838885901,8.87,13.34,1747244,1431151,197090,130991,161434,107294,1421038227,1419741599,8779865815,48810034251,34959315900,1.00,6.18,34348,24601,34380,5559,24624,3982
"2019","계",1462495002,1592097838,9528009760,85793843234,64675175517,1.09,6.51,58663,44222,53887,9004,40623,6788,16965542,147650626,224049446,32008115704,26107334226,8.70,13.21,1886654,1538845,216783,142862,176818,116525,1445529460,1444447212,9303960314,53785727530,38567841291,1.00,6.44,37208,26681,37236,5781,26701,4145
"2020","계",1276343311,1399063660,9566016842,86833855541,65387120553,1.10,7.49,68033,51230,62066,9077,46736,6835,16125155,140210972,211806664,32854812930,26676393779,8.70,13.14,2037488,1654334,234324,155117,190259,125947,1260218156,1258852688,9354210178,53979042612,38710726773,1.00,7.42,42833,30717,42880,5771,30751,4138
"2021","계",1260493623,1380674224,10058096229,93498383030,70166544136,1.10,7.98,74176,55666,67719,9296,50820,6976,16400928,138110432,209563348,34687304643,28149217854,8.42,12.78,2114960,1716319,251156,165522,203817,134323,1244092695,1242563792,9848532881,58811078387,42017326283,1.00,7.92,47272,33773,47330,5972,33815,4266
